timestamp,startTime,endTime,stepcount,heartrate,sleep,meanSpeed,distance,exerciseType,liveData/0/speed,liveData/0/start_time,liveData/1/speed,liveData/1/start_time,liveData/2/speed,liveData/2/start_time,liveData/3/speed,liveData/3/start_time,liveData/4/speed,liveData/4/start_time,liveData/5/speed,liveData/5/start_time,liveData/6/speed,liveData/6/start_time,liveData/7/speed,liveData/7/start_time
1489036092087,,,7,,,,,,,,,,,,,,,,,,,,,
1489037001659,,,25,,,,,,,,,,,,,,,,,,,,,
1489037002292,,,22,,,,,,,,,,,,,,,,,,,,,
1489037050941,1489037050941,1489038061563,,,,1.4170262,1173.293,1001,1.5715934,1489037040000,1.6111112,1489037100000,1.3333334,1489037160000,1.3888888,1489037220000,1.5833334,1489037280000,1.6111112,1489037340000,1.5,1489037400000,1.1944444,1489037460000
1489037067497,,,107,,,,,,,,,,,,,,,,,,,,,
1489037129995,,,39,,,,,,,,,,,,,,,,,,,,,
1489037130131,,,50,,,,,,,,,,,,,,,,,,,,,
1489037221477,,,84,,,,,,,,,,,,,,,,,,,,,
1489037547740,,,95,,,,,,,,,,,,,,,,,,,,,
1489037547751,,,110,,,,,,,,,,,,,,,,,,,,,
1489037547764,,,90,,,,,,,,,,,,,,,,,,,,,
1489037547775,,,114,,,,,,,,,,,,,,,,,,,,,
1489037547833,,,113,,,,,,,,,,,,,,,,,,,,,
1489037547859,,,107,,,,,,,,,,,,,,,,,,,,,
1489037547883,,,90,,,,,,,,,,,,,,,,,,,,,
1489037547924,,,105,,,,,,,,,,,,,,,,,,,,,
1489037651306,,,93,,,,,,,,,,,,,,,,,,,,,
1489037651319,,,43,,,,,,,,,,,,,,,,,,,,,
1489037693718,,,49,,,,,,,,,,,,,,,,,,,,,
1489037693842,,,84,,,,,,,,,,,,,,,,,,,,,
1489037693904,,,79,,,,,,,,,,,,,,,,,,,,,
1489037693965,,,59,,,,,,,,,,,,,,,,,,,,,
1489037694017,,,86,,,,,,,,,,,,,,,,,,,,,
1489037694088,,,143,,,,,,,,,,,,,,,,,,,,,
1489037694155,,,161,,,,,,,,,,,,,,,,,,,,,
1489037694272,,,78,,,,,,,,,,,,,,,,,,,,,
1489037738116,,,58,,,,,,,,,,,,,,,,,,,,,
1489037792415,,,56,,,,,,,,,,,,,,,,,,,,,
1489037792442,,,102,,,,,,,,,,,,,,,,,,,,,
1489037995491,,,102,,,,,,,,,,,,,,,,,,,,,
1489037995509,,,105,,,,,,,,,,,,,,,,,,,,,
1489037995522,,,105,,,,,,,,,,,,,,,,,,,,,
1489038077770,,,143,,,,,,,,,,,,,,,,,,,,,
1489038077980,,,145,,,,,,,,,,,,,,,,,,,,,
1489038078073,,,136,,,,,,,,,,,,,,,,,,,,,
1489038078137,,,139,,,,,,,,,,,,,,,,,,,,,
1489038078263,,,117,,,,,,,,,,,,,,,,,,,,,
1489038122353,,,97,,,,,,,,,,,,,,,,,,,,,
1489038585882,,,66,,,,,,,,,,,,,,,,,,,,,
1489038586061,,,131,,,,,,,,,,,,,,,,,,,,,
1489038586121,,,151,,,,,,,,,,,,,,,,,,,,,
1489038586185,,,104,,,,,,,,,,,,,,,,,,,,,
1489038701119,,,109,,,,,,,,,,,,,,,,,,,,,
1489038701296,,,80,,,,,,,,,,,,,,,,,,,,,
1489038785707,,,89,,,,,,,,,,,,,,,,,,,,,
1489038900262,,,60,,,,,,,,,,,,,,,,,,,,,
1489038900289,,,121,,,,,,,,,,,,,,,,,,,,,
1489038900304,,,72,,,,,,,,,,,,,,,,,,,,,
1489038900344,,,78,,,,,,,,,,,,,,,,,,,,,
1489038900366,,,84,,,,,,,,,,,,,,,,,,,,,
