calorie,distance,endTime,exerciseType,maxHR,minHR,startTime
59,1391,1488951883650,1001,0,0,1488950759921
67,1613,1488986472024,1001,0,0,1488985297677
51,1195,1489015803978,1001,0,0,1489014983059
73,1616,1489024426581,1001,0,0,1489023127754
124,2646,1489027216195,1001,0,0,1489024822400
30,690,1489028566832,1001,0,0,1489027945027
53,1257,1489032406094,1001,0,0,1489031495558
53,1173,1489038061563,1001,0,0,1489037050941
71,1645,1489040709154,1001,0,0,1489039426839
58,1304,1489068099810,1001,0,0,1489067222267
62,1306,1489110158683,1001,0,0,1489109111426
55,1169,1489121547711,1001,0,0,1489120462782
56,1385,1489153434770,1001,0,0,1489152587302
52,1189,1489183339443,1001,0,0,1489182330701
43,1001,1489205011872,1001,0,0,1489204365546
58,1308,1489248498332,1001,0,0,1489247535315
42,923,1489281910438,1001,0,0,1489281295694
52,1157,1489374494000,1001,0,0,1489373700000
46,1137,1489373534359,1001,0,0,1489372665699
50,1194,1489374372397,1001,0,0,1489373636445
108,2256,1489456860000,1001,0,0,1489455120000
52,1203,1489411572059,1001,0,0,1489410712798
43,1023,1489436604254,1001,0,0,1489435892427
48,1083,1489455870180,1001,0,0,1489455067876
45,1009,1489456765092,1001,0,0,1489455982968
54,1217,1489584888173,1001,0,0,1489583943020
44,1052,1489635742826,1001,0,0,1489635028222
62,1438,1489667658205,1001,0,0,1489666655613
49,1212,1489705146893,1001,0,0,1489704236498
54,1217,1489796978987,1001,0,0,1489796051753
73,1616,1489754690964,1001,0,0,1489753352207
31,677,1489782689435,1001,0,0,1489782049261
57,1330,1489801366427,1001,0,0,1489800335776
64,1335,1489857126584,1001,0,0,1489856119496
75,1651,1489861838801,1001,0,0,1489860553150
65,1470,1489863078612,1001,0,0,1489862110252
76,1761,1489939184338,1001,0,0,1489937920070
65,1423,1489947744710,1001,0,0,1489946760065
73,1658,1489960413657,1001,0,0,1489959207656
59,1324,1489970978088,1001,0,0,1489969978550
49,1088,1490047244000,1001,0,0,1490046420000
46,1118,1490037621118,1001,0,0,1490036746103
59,1332,1490040647706,1001,0,0,1490039517172
79,1841,1490047931069,1001,0,0,1490046517803
109,2467,1490058505017,1001,0,0,1490056761464
205,0,1490139451439,0,0,0,1490137062865
146,2734,1490141681733,1002,199,167,1490140683151
47,1042,1490147340000,1001,0,0,1490146560000
45,969,1490148624000,1001,0,0,1490147940000
60,1287,1490155772000,1001,0,0,1490154858000
65,1390,1490194181327,1001,0,0,1490193084877
40,893,1490199483923,1001,0,0,1490198744718
83,1747,1490200941747,1001,0,0,1490199557302
241,3951,1490366109498,1002,203,79,1490364756555
118,2592,1490369863361,1001,0,0,1490367821939
48,1148,1490447435318,1001,0,0,1490446691147
83,1938,1490449619792,1001,0,0,1490448432596
54,1299,1490574417532,1001,0,0,1490573499918
60,1322,1490575470317,1001,0,0,1490574482572
48,1240,1490620257797,1001,0,0,1490619456736
0,0,1490621530334,1002,0,0,1490621524014
38,831,1490636394554,1001,0,0,1490635623835
41,984,1490658528256,1001,0,0,1490657796395
137,2897,1490672045547,1001,0,0,1490669704545
227,4229,1490702283613,1002,195,55,1490700895523
243,4049,1490791482575,1002,195,57,1490790177266
46,1172,1490807666999,1001,0,0,1490806910867
37,790,1490817115257,1001,0,0,1490816509252
63,1446,1490819091448,1001,0,0,1490817885902
48,1050,1490825295675,1001,0,0,1490824573086
51,1204,1490833358141,1001,0,0,1490832573935
241,4311,1490871932002,1002,205,76,1490870701827
45,986,1490911089858,1001,0,0,1490910204470
65,1524,1490963228688,1001,0,0,1490962226636
99,2197,1491059691180,1001,0,0,1491058105209
35,801,1491098307519,1001,0,0,1491097688296
263,5204,1491141429712,1002,203,120,1491140109721
84,1896,1491148790608,1001,0,0,1491147396803
44,1119,1491155388212,1001,0,0,1491154670519
88,1893,1491157000240,1001,0,0,1491155462544
68,1557,1491160064767,1001,0,0,1491158920344
65,1383,1491162923331,1001,0,0,1491161772180
165,0,1491168027980,0,0,0,1491166125211
57,0,1491168710896,0,0,0,1491168110896
96,2094,1491177310879,1001,0,0,1491175682430
58,1332,1491230104115,1001,0,0,1491229158899
49,1087,1491267619712,1001,0,0,1491266804418
86,1904,1491271595358,1001,0,0,1491270106408
24,6,1491307225172,1002,198,93,1491305865303
69,1475,1491316786571,1001,0,0,1491315686689
58,1239,1491352338018,1001,0,0,1491351258270
74,1414,1491393295720,1001,0,0,1491392342952
310,4546,1491395159588,1002,190,69,1491393295440
69,1282,1491411470319,1001,0,0,1491410587994
76,1379,1491482038434,1001,0,0,1491481201450
47,900,1491491730898,1001,0,0,1491491124804
74,1351,1491570578030,1001,0,0,1491569652994
94,1850,1491591285292,1001,0,0,1491590039733
77,1469,1491595356385,1001,0,0,1491594213783
62,1228,1491653970081,1001,0,0,1491652974130
